微博id,uni_id,url,主页,发布时间,国家,城市,微博bid,微博作者,微博内容,性别,情感倾向,点赞数,爬取时间,用户关注数,用户简介,省份,粉丝数,评论数,转发数
2698575204.0,,https://m.weibo.cn/detail/Ozww4E3qB,https://m.weibo.cn/u/2664630753?,2024-10-01 13:53:32,中国,,Ozww4E3qB,雪临i,8月-9月书单： 1. 第七天（余华） 2. 解密（麦家） 3. 李诞脱口秀工作手册（李诞） 4. 假面饭店（东野圭吾） @便便咖啡 @JoannaZa 8月书单都忘发了，一起补上祝我们节日快乐 ,f,0.0762700297392618,0.0,2024-10-01 22:09:07,385.0,,山东,157,0.0,0.0
3252784800.0,,https://m.weibo.cn/detail/OzcVR58b0,https://m.weibo.cn/u/7890198451?,2024-09-29 12:02:06,中国,北京,OzcVR58b0,李诞工作室,我闺蜜给李诞当了小妾了 ,f,0.9183363285641508,0.0,2024-10-01 22:09:07,178.0,鹿小葵加油,北京,23,0.0,0.0
3504237057.0,,https://m.weibo.cn/detail/OzwZa2vm2,https://m.weibo.cn/u/7065582366?,2024-10-01 15:05:11,英国,,OzwZa2vm2,大不列颠买不到水煎包,随着时间，每个人都会形成自己的语言风格，我对自己写的乱七八糟东西的风格定义为: 矫情逼风 李诞的播客还蛮不错，前几天听的第13期: “我的语言来自何处？”，感觉讲得挺好。 ,f,0.9914283328383248,0.0,2024-10-01 22:09:07,185.0,It’ll pass,英国,274,1.0,0.0
5413923920.0,,https://m.weibo.cn/detail/Ozx2SdIFM,https://m.weibo.cn/u/5620682770?,2024-10-01 15:14:20,中国,许昌,Ozx2SdIFM,花里也有宇宙,非常不想特别恶心人的说，因为没有李诞所以不想看脱口秀了。 所以看了，每天下饭时候都会打开，但我吃饭的速度居然比不上他更新的速度。 哎，恶心就恶心吧，确实没有李诞在的时候好看。 ,f,6.856560019963265e-05,0.0,2024-10-01 22:09:07,1077.0,八月下雨很正常。,河南,105,0.0,0.0
5490995461.0,,https://m.weibo.cn/detail/Ozw3VqgV9,https://m.weibo.cn/u/5634670141?,2024-10-01 12:44:11,中国,上海,Ozw3VqgV9,奈奈奈奈奈凉ice,哈哈哈徐志胜是真的素材不够了感觉，把直播李诞地称呼都提了 ,f,0.93887259999004,0.0,2024-10-01 22:09:07,1254.0,不要害怕，要去相信。,上海,477,0.0,0.0
5526931284.0,,https://m.weibo.cn/detail/OzxjrnGN3,https://m.weibo.cn/u/6882160701?,2024-10-01 15:55:09,中国,晋中,OzxjrnGN3,7哩咕噜,#罗永浩 脱口秀悖论#真的很喜欢罗永浩的大局观 每一次给灯都拍到我的点上 我宣布 罗永浩 李诞 鲁豫 就是最懂脱口秀的三个人 ,f,0.9999995616941076,4.0,2024-10-01 22:09:07,101.0,双下巴^,山西,52,3.0,0.0
5590797676.0,,https://m.weibo.cn/detail/OzyqijV9B,https://m.weibo.cn/u/2303129363?,2024-10-01 18:44:47,中国,南京,OzyqijV9B,春田花花毕业生,其实我觉得最好的脱口秀领笑员阵容是李诞、杨笠、鲁豫、大张伟，会把关会点评会聊天会鼓励支持。现在这几个节目就真的就跟评委一样，高高在上点评分析段子结构、价值分析、观众喜好什么… 还有罗永浩，看到好多repo都是在吐槽他爹味 ,m,0.999970156898296,873.0,2024-10-01 22:09:07,911.0,啊半，想发啥就发啥，但一些并不代表个人观点,江苏,95.9万,34.0,22.0
5620682770.0,,https://m.weibo.cn/detail/Ozz0GmB8x,https://m.weibo.cn/u/7863607306?,2024-10-01 20:14:26,中国,上海,Ozz0GmB8x,逃跑特长生,几年不看脱口秀了，怎么现在只剩王建国？？？池子和李诞嘞？？？是因为坐上头等舱就写不出好笑的段子了吗？？？ ,m,0.0001831810159539,0.0,2024-10-01 22:09:07,96.0,鱼的眼睛睁着不知是睡着还是醒着,上海,1,0.0,0.0
5634670141.0,,https://m.weibo.cn/detail/OzyVwlwmM,https://m.weibo.cn/u/7469075348?,2024-10-01 20:01:43,中国,成都,OzyVwlwmM,俄亥俄Carolina,夜店。都挺放荡的。#李诞说要送朋友真挚爱情#,f,0.9831958733092004,0.0,2024-10-01 22:09:07,394.0,~,四川,32,0.0,0.0
5670712059.0,,https://m.weibo.cn/detail/Ozwv5qOGm,https://m.weibo.cn/u/5673236312?,2024-10-01 13:51:06,中国,威海,Ozwv5qOGm,不能再瘦辣,“毫无理由地爱狗狗”————————202410011917 在于它简单而纯粹的世界，在于它活在当下的每个瞬间，也能够心里有我、喜欢我。（刚好听到李诞的播客，狗狗世界的每个瞬间或许都能“enjoy”）最为关键的是——我可以轻松地喜爱它。不必思虑、不必负担，在这种轻松而简单的爱的关系中，照顾的责任是 ...全文,f,0.9999999999615165,0.0,2024-10-01 22:09:07,98.0,垫脚摘星辰——热爱自我，辨清自己，认可自己，关注她人,山东,28,0.0,0.0
5673236312.0,,https://m.weibo.cn/detail/OzyDOCqZ6,https://m.weibo.cn/u/5590797676?,2024-10-01 19:18:06,中国,广州,OzyDOCqZ6,居居心不轨,难过的时候听听李诞的小卖部，很治愈，真的很感谢。 ,f,0.9947817170651022,0.0,2024-10-01 22:09:07,242.0,不断地毁灭与重建，是科研对人生的历练。,广东,139,0.0,0.0
,,https://m.weibo.cn/detail/N/A,https://m.weibo.cn/u/5974537157?,,,,,,李诞 十月顺利 ,f,0.4863254497799368,0.0,2024-10-01 22:09:07,483.0,笑是生活的解药,,28,0.0,0.0
