平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,比考试难考的地瓜疯了版,莫名的累 从周三到周五 连轴上了三整天的课 累到晚上不想说话 今早上又马不停蹄的来医院看👵 昨晚加起来睡了不到5小时 头疼要疼炸了感觉 一下子憔悴了好多 明后天又要起大早带学生出去考一天试 最近也是满满的憔悴 济南·山东大学齐鲁医院 ,0,0,1,https://m.weibo.cn/detail/P3KSDAr8i,,2024-12-07 14:22:09
微博,绿松三四枝,学姐我真稀罕你啵啵啵我亲亲你啵啵啵一辈子跟我好 威海·山东大学(威海校区) ,0,0,5,https://m.weibo.cn/detail/P3KEt1hR9,,2024-12-07 13:47:14
微博,维奈克拉_Venetoclax,假装被齐鲁挖走了 博施济众  广智求真 #山东大学##齐鲁医院##山东大学趵突泉校区#山东大学(趵突泉校区)济南·山东大学(趵突泉校区) ,0,1,1,https://m.weibo.cn/detail/P3Ktpc62V,,2024-12-07 13:19:59
微博,每天都只想毕业和生发,师兄去山大开会吃我最爱的兰州拉面需要10rmb，我在科大吃垃圾需要26rmb，青菜是吃了会吐的，油鸡是只有油的，每次在吃食堂的时候我都非常想念山大 ,0,3,1,https://m.weibo.cn/detail/P3KrnEbhf,,2024-12-07 13:15:00
微博,kk公主桃梨枣八,[吃馕] 济南·山东大学(趵突泉校区) ,0,0,0,https://m.weibo.cn/detail/P3Khrca81,,2024-12-07 12:50:30
微博,-零零幺,快乐就够了 ʔ•̫͡•ʕ 济南·山东大学中心校区 ,0,0,1,https://m.weibo.cn/detail/P3K8wdyn4,,2024-12-07 12:28:31
微博,锅巴兜不住,山东大学考研  出山大新传模拟题  目前组织的两次模考及批改已基本结束 最近有没参与到的同学 联系我单买卷子和答案 在这里说明一下到考前还是可以买滴 出题原因都是结合山大的重点进行的押题 参考语料提供多种思路 共31页 三万五千多字 补充附赠没有解析的押题卷及山大重点 以上 有意者可✉️ ...全文,0,1,0,https://m.weibo.cn/detail/P3K5koFsJ,,2024-12-07 12:20:40
微博,山东交通运输,【#济南轨道交通8号线全线贯通# 】12月5日，在济南轨道交通8号线一期工程建设现场，最后一榀U型梁在潘王路站至山东大学站（均为工程名）区间完成架设，标志着8号线全线桥隧贯通，为早日建成通车奠定坚实基础。 济南轨道交通8号线一期工程西起邢村站、东至清源大街站，全长25.50公里，其中地下段约5.62 ...全文,0,0,2,https://m.weibo.cn/detail/P3IOJ7i2r,,2024-12-07 09:07:01
微博,名字只要起的够长就会有人跟着读,他们心态真好，大早上起来挨喷 济南·山东大学中心校区 ,0,5,4,https://m.weibo.cn/detail/P3IGY83eq,,2024-12-07 08:47:54
微博,编外尼姑小王,零下的温度  热情的节奏  抢到的后排  今日人设：白龙沙僧马 济南·山东大学中心校区 ,0,2,1,https://m.weibo.cn/detail/P3IFWuv4L,,2024-12-07 08:45:23
微博,奎文发布,【#原来古人最快乐的事情也是吃肉#】山东大学考古学院教授宋艳波介绍，在北辛遗址一处灰坑中，发现6个个体的猪下颌骨。原来在7000年前，北辛人就开始吃猪肉了，从各个北辛文化遗址陆续出土的猪骨数量判断，猪已经成为北辛人主要的饲养对象。 闪电新闻的微博视频 ,1,2,2,https://m.weibo.cn/detail/P3ICxA07e,,2024-12-07 08:37:00
微博,平平无奇温小姐,下个月就要过年了#生活手记# 济南·山东大学中心校区 ,2,11,21,https://m.weibo.cn/detail/P3EIQqxxv,,2024-12-06 22:41:33
微博,葛归愚,（转）何先生是浙江金华人，1917年生于天津，早年入著名的私立南开中学。1934年，在山东大学学习化学一年后，又考入清华大学。到清华不久，他对化学兴趣全消，对历史兴趣大增，于是考虑是否转攻历史。一次月考，他的历史得了89分，应属不错。然而，一位得91分的同学对他说：“能得89分也很不错啦！”这 ...全文,0,0,0,https://m.weibo.cn/detail/P3I5h34eb,,2024-12-07 07:15:02
微博,十余年1992,26法硕2对1督学 两位学姐2对1建群辅导，两人全部一战上岸山东大学，且成绩排名前十。 提供的服务： 1.根据个人具体情况制定周计划，并按时督促打卡完成，帮助把握复习节奏和进度。 2.专业课问题答疑，及时帮助你解决问题。 3.背诵阶段帮助抽查背诵，加深印象。 4.政治英语的学习方法。 5.心理疏导。 6. ...全文,0,0,0,https://m.weibo.cn/detail/P3G4TAz36,,2024-12-07 02:08:37
