微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
5172869950867795,PuzGb3DKH,姓唐名诗字宋词,2025-06-01 23:29:26,#明日方舟##左乐# 速写练习，女仆装小伙！ ,0,0,0,中国,江苏,南京,无情地转发抽奖＋偶尔画点图/混沌杂食人，但是不磕女同/努力练习画帅哥ing/爱吃太妃糖的cm、玩cbjq的直接拉黑我就行，不然我就要攻击你了🙃,134,7,女,https://weibo.com/u/7760591739,https://m.weibo.cn/detail/PuzGb3DKH,PuzGb3DKH,0.39842077354548455
5172869812196302,PuzFX9dme,常言道寡妇门前是非多_,2025-06-01 23:28:53,这个太神了……已三连并反复欣赏【【明日方舟手书】像神一样呐 God-ish】 【明日方舟手书】像神一样呐 God-ish ,0,0,3,中国,山西,太原,新建文件夹｜“你现在才告诉我，我有一个孩子？”,186,260,女,https://weibo.com/u/5382893723,https://m.weibo.cn/detail/PuzFX9dme,PuzFX9dme,0.9930894500370907
5172666248205626,PuunCyqEO,VIPcard卡卡,2025-06-01 10:00:00,明日方舟 #2025德克萨斯生贺24h# #拉德# #双狼组# #拉普兰德# #德克萨斯# 【德克萨斯生贺24h/10:00】「 盘中餐 」德克萨斯在萨卢佐度过的某个平静的生日……吗？？……好吧，有她在，餐桌也会变成一场斗争上一棒：@DC_打開了奇怪開關 （代发）下一棒：@梵蒂冈的勃朗宁 ,37,7,113,中国,天津,天津,爽朗姐无差姐//专注膳食平衡，偶尔画点能过审的内容。,708,312,女,https://weibo.com/u/5767260142,https://m.weibo.cn/detail/PuunCyqEO,PuunCyqEO,0.342933351363078
5172856792815509,PuzkXbOrr,_雪粒_,2025-06-01 22:37:09,明日方舟  打盹#左乐# ,5,0,18,中国,北京,北京,@xuelierrr 合作走米,263,239,女,https://weibo.com/u/7581315850,https://m.weibo.cn/detail/PuzkXbOrr,PuzkXbOrr,0.20815741090726014
5172869426057805,PuzFkppUx,芒果慕斯大福冰,2025-06-01 23:27:21,明日方舟加油站 试试一个音律遗君德克萨斯换两个遗君焰苇一换二，互包邮仅拆确认角色，盒膜带齐的，希望你也是 ,0,0,0,中国,重庆,重庆,我都想吃怎么办,369,63,男,https://weibo.com/u/2831132947,https://m.weibo.cn/detail/PuzFkppUx,PuzFkppUx,0.02767060242227537
5172868803728686,PuzEkfE06,兔球球闪来闪去,2025-06-01 23:24:53,🐰兔球球今日提醒⚔️沈星回定向轨道·光已开放#沈星回# ✨#恋与深空#  ,0,1,6,中国,重庆,重庆,祝沈星回永远自由,35,1.5万,女,https://weibo.com/u/5878938997,https://m.weibo.cn/detail/PuzEkfE06,PuzEkfE06,0.7695835335821893
5172868765719067,PuzEgnZN1,-等待待待待待-,2025-06-01 23:24:44,明日方舟加油站 推车 ,0,0,0,中国,福建,宁德,略略略,44,12,女,https://weibo.com/u/6523632354,https://m.weibo.cn/detail/PuzEgnZN1,PuzEgnZN1,0.3230276536938509
5172868758379082,PuzEfz9Mu,好好一个飞机UR,2025-06-01 23:24:42,#明日方舟# 四人小队的相互关系真的好独特啊，每章的主题都会有相似的地方，但唯独这4人的故事很值得细品，有立场不同但相互理解的关系，有永远都无法理解但永远相互依靠 互为对方启发的关系，这十年曾经美好过 痛苦过 误会过 理解过后，4人都更能坚定自己的原则走出属于自己的路还没 ...全文,0,0,0,中国,广东,东莞,…,649,805,男,https://weibo.com/u/2399149091,https://m.weibo.cn/detail/PuzEfz9Mu,PuzEfz9Mu,0.9999999993378945
5172868695457994,PuzE9mTSa,我是述书,2025-06-01 23:24:26,明日方舟  想蹲个q的小粥群平常都是自己一个人在玩，有点无聊辣求收留 #粥##来群来# ,0,3,1,中国,山西,忻州,无情转发bot,237,31,女,https://weibo.com/u/7285209402,https://m.weibo.cn/detail/PuzE9mTSa,PuzE9mTSa,0.011194578676065547
5172567343104454,PurO6d1BQ,pocky商店,2025-06-01 03:26:59,Buon Compleanno.你平淡却又如此鲜明。#德克萨斯0601生日快乐##德克萨斯#明日方舟 ,1,0,15,中国,江苏,连云港,,242,13,女,https://weibo.com/u/7734619052,https://m.weibo.cn/detail/PurO6d1BQ,PurO6d1BQ,0.9625857720437317
