用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
小孩哥麻麻（被杰伦发ins版）,21296,2024-09-18 23:06:24,今晚是羽球人小孩哥😅#羽毛球 #羽毛球精彩片段 #我的男孩,0分:19秒,5873,255,371,19,712,7415999600005336354,,https://www.douyin.com/discover?modal_id=7415999600005336354
小慕ཽ,312,2024-10-23 14:02:13,#赞美妈妈 #自信小孩哥#鼓掌,0分:54秒,640,62,50,0,532,7428847356512144698,,https://www.douyin.com/discover?modal_id=7428847356512144698
雪。,301,2024-09-04 20:14:07,OK啊，捡了半小时白捡了#也是被小孩哥真实了 @携雪眠 我们在旁边捡干花 然后这两个小孩就过来问我们是干啥呢 我们就说了是在捡干花 然后还叫着跟我们一起玩呢 然后那两个小孩就骂人了……版本过低，升级后可展示全部信息,0分:8秒,54122,1511,298,23,29750,7410760055915662602,,https://www.douyin.com/discover?modal_id=7410760055915662602
又想吃零食了.,44427,2024-10-23 20:07:57,今天被气到了#00后教师上线 #男高中生 #清纯男高 #班主任 #小学生,4分:17秒,496,25,37,0,133,7428941631153360163,,https://www.douyin.com/discover?modal_id=7428941631153360163
人生不过百载,456,2024-10-23 16:06:01,你小时候脱过多少个朋友的苦茶子？#生活不易燃茶不苦,0分:59秒,442,22,127,0,375,7428879274192407871,,https://www.douyin.com/discover?modal_id=7428879274192407871
横店影视城,1488871,2024-10-23 13:39:12,横店见证了小孩哥的一步步蜕变在这留下了太多的专属回忆期待#王星越 第十届“文荣奖”的表现！#横店影视节,1分:28秒,144,19,21,1,25,7428841427238456613,浙江横店影视城有限公司,https://www.douyin.com/discover?modal_id=7428841427238456613
四会市无量居珠宝店,142992,2024-10-23 14:30:34,#麻栗坡烈士陵园 ！小孩歌说，他以前是光着屁股，在打战的………。要不是小孩哥，估计很多人不知道“你们”……,0分:29秒,1402,15,153,0,4,7428854663744736538,,https://www.douyin.com/discover?modal_id=7428854663744736538
横店影视城,1488871,2024-10-23 13:39:12,横店见证了小孩哥的一步步蜕变在这留下了太多的专属回忆期待#王星越 第十届“文荣奖”的表现！#横店影视节,1分:28秒,144,19,21,1,25,7428841427238456613,浙江横店影视城有限公司,https://www.douyin.com/discover?modal_id=7428841427238456613
7k7ki,299,2024-08-21 20:55:53,小孩哥  我真长见识了#石膏娃娃 #那咋了,0分:10秒,120036,2950,11689,92,85141,7405575650075004200,,https://www.douyin.com/discover?modal_id=7405575650075004200
四会市无量居珠宝店,142992,2024-10-23 14:30:34,#麻栗坡烈士陵园 ！小孩歌说，他以前是光着屁股，在打战的………。要不是小孩哥，估计很多人不知道“你们”……,0分:29秒,1402,15,153,0,4,7428854663744736538,,https://www.douyin.com/discover?modal_id=7428854663744736538
娱乐祝无双,1052371,2024-10-22 15:40:36,小孩哥：悬着的心终于死了（cr@蓝桥春雪^ ）#万万没想到 #娱乐评论大赏 #搞笑  #日常 #小学生,0分:22秒,176,3,6,0,116,7428501203228691738,,https://www.douyin.com/discover?modal_id=7428501203228691738
海航-蛋蛋,11071,2024-10-22 17:26:26,莫斯科的冬天真的很冷 #空少 #治愈系笑容 #民航人 #日常vlog #少年感,1分:3秒,1996,108,118,0,124,7428528901355310377,,https://www.douyin.com/discover?modal_id=7428528901355310377
小虎娱乐,1896134,2024-06-30 11:38:18,小孩哥上车那刻，这世界也就这样了... #小孩哥 #开法拉利 #别人的人生,0分:25秒,2418,86,76,5,1432,7386135470691912994,,https://www.douyin.com/discover?modal_id=7386135470691912994
没名字。,3101,2024-10-02 14:22:37,未来的190已初具雏形@是惠媛呀（吴帅克的抖音号） #嗨嗨 #Phoenix #小孩哥 #10后 #原相机,0分:14秒,21857,443,210,2,2147,7421059854472629545,,https://www.douyin.com/discover?modal_id=7421059854472629545
娱乐放映室,1521023,2024-07-22 14:39:11,小孩哥：突然觉得23楼也不高，以后爬楼梯#小孩哥 #老师的压迫感 #当小孩哥在电梯遇见老师,0分:33秒,1127,34,78,3,452,7394346010551602442,,https://www.douyin.com/discover?modal_id=7394346010551602442
小猿口算,355500,2024-10-15 18:33:05,小孩哥绝地反扑？！大学生们，快为荣誉而战吧～ #小猿口算 #小猿口算pk #大学生 #小孩哥小孩姐 #小猿口算pk学段排名,0分:16秒,229,30,27,0,7,7425948226739522854,天津猿力教育科技有限公司,https://www.douyin.com/discover?modal_id=7425948226739522854
锁匠开锁培训学校,59505,2024-10-15 18:30:00,小孩哥这次算是踢到铁板了#小孩哥 #开锁 #神操作 #锁匠,0分:56秒,145,15,14,0,42,7425809118771907875,崇左市锁匠开锁培训学校,https://www.douyin.com/discover?modal_id=7425809118771907875
