用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url_2,id,url
睿睿麻麻,23255,2024/10/22 18:35,小孩哥受了多大的委屈哭成这样，这架势像奶奶还是像姥姥呢??#看把这娃委屈成这样 #这孩子多少有点倔脾气 #萌娃的崩溃瞬间,0分:8秒,5212,896,394,50,4108,7.43E+18,,https://www.douyin.com/discover?modal_id=7428546622524574991,7428546622524574991,https://www.douyin.com/video/7428546622524574991
小孩哥??,118,2024/10/23 20:18,#自娱自乐自我调节 #自娱自乐乐在其中 #自玩自乐 @抖音小助手,0分:15秒,2,0,6,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428944372953091362,7428944372953091362,https://www.douyin.com/video/7428944372953091362
????????,203,2024/10/23 23:18,全是郭双嘉#小孩哥头像 我的作品,0分:0秒,37,0,6,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428990729294286140,7428990729294286140,https://www.douyin.com/video/7428990729294286140
桃小姐,172,2024/10/23 14:39,小孩哥,0分:0秒,19,0,8,0,2,7.43E+18,,https://www.douyin.com/discover?modal_id=7428856984008445223,7428856984008445223,https://www.douyin.com/video/7428856984008445223
小粥,462,2024/10/24 9:36,善良得小孩哥 #dou上热门 #善良 #无价之宝#综艺节目 #感动,1分:3秒,253,7,8,0,51,7.43E+18,,https://www.douyin.com/discover?modal_id=7429149913994317091,7429149913994317091,https://www.douyin.com/video/7429149913994317091
小狗来福,1325,2024/10/23 12:56,这是升还是降？表弟太想进步了#小孩哥#孩子你无敌了  #热评文案,0分:0秒,79,2,13,0,4,7.43E+18,,https://www.douyin.com/discover?modal_id=7428830557049490738,7428830557049490738,https://www.douyin.com/video/7428830557049490738
小孩哥.,2554,2024/10/24 9:48,老天保佑...,0分:0秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429153000482000185,7429153000482000185,https://www.douyin.com/video/7429153000482000185
小孩哥,149,2024/10/24 2:12,无法用文案来解释！来个会说的  #现实语录,0分:37秒,1,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429035045454695739,7429035045454695739,https://www.douyin.com/video/7429035045454695739
六六娱乐,1221461,2024/10/23 19:21,我勒个小孩哥啊 #小学生 #小孩哥 #医学生 #娱乐评论大赏,0分:22秒,225,18,19,0,74,7.43E+18,,https://www.douyin.com/discover?modal_id=7428897777305914678,7428897777305914678,https://www.douyin.com/video/7428897777305914678
是小长柏呀-,9093,2024/10/21 21:02,“笑口常开，好运自然来” 爱笑的小孩哥，就这样开心快乐的长大吧” #我的男孩 #记录童年#小孩的笑容是最治愈的,0分:0秒,159,2,29,0,7,7.43E+18,,https://www.douyin.com/discover?modal_id=7428213483759471887,7428213483759471887,https://www.douyin.com/video/7428213483759471887
liberty,421,2024/10/24 5:23,小孩哥不要太强。#库巴西 #巴萨,0分:0秒,48,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429084389214047522,7429084389214047522,https://www.douyin.com/video/7429084389214047522
小孩哥日记,0,2024/10/24 1:56,#聊天记录,0分:0秒,1,0,0,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7429030979911634234,7429030979911634234,https://www.douyin.com/video/7429030979911634234
汐? ????,540,2024/10/21 11:55,最牛小朋友#小朋友的世界 #小朋友的快乐就是如此简单,0分:27秒,15063,674,1815,185,19226,7.43E+18,,https://www.douyin.com/discover?modal_id=7428072563814747433,7428072563814747433,https://www.douyin.com/video/7428072563814747433
闷骚男,156,2024/10/23 15:22,phx贝利亚。#这世界离不开小孩哥,0分:0秒,15,1,1,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7428868095957126457,7428868095957126457,https://www.douyin.com/video/7428868095957126457
敷敷宝,182,2024/10/23 15:22,我再也不乱加国服了。#王者荣耀 #王者 #小孩哥 #国服,0分:0秒,50,0,40,0,204,7.43E+18,,https://www.douyin.com/discover?modal_id=7428868032878988555,7428868032878988555,https://www.douyin.com/video/7428868032878988555
小孩哥哥哥,81,2024/10/24 1:11,#一起打游戏 #王者荣耀,0分:0秒,2,0,1,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7429019520276172059,7429019520276172059,https://www.douyin.com/video/7429019520276172059
小孩哥,93,2024/10/24 7:37,不被定义 #失去你我不难过,0分:29秒,1,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429119456053366042,7429119456053366042,https://www.douyin.com/video/7429119456053366042
好运营销号,43,2024/10/23 15:49,超绝小孩哥！ #看一遍笑一遍 #万万没想到 #可爱 #可爱到爆炸??,0分:40秒,254,10,37,0,1240,7.43E+18,,https://www.douyin.com/discover?modal_id=7428874925689048361,7428874925689048361,https://www.douyin.com/video/7428874925689048361
包头新闻网,589129,2024/10/24 8:27,小孩哥骑车楼梯极限下降迷倒万千路人 #小孩哥 #帅气出场 #极限挑战 #迷人,0分:14秒,44,6,2,0,5,7.43E+18,包头新闻网官方账号,https://www.douyin.com/discover?modal_id=7428926713628839194,7428926713628839194,https://www.douyin.com/video/7428926713628839194
新华社电视,1738196,2024/10/22 13:31,小孩哥中的高手！感觉我小时候就是个憨憨！ #好好学习天天向上 #小学生  #小孩哥,0分:11秒,280,12,3,0,49,7.43E+18,中国新华新闻电视网（CNC）官方账号,https://www.douyin.com/discover?modal_id=7428467927436823847,7428467927436823847,https://www.douyin.com/video/7428467927436823847
k is木,37,2024/10/23 11:11,#优质头像 #拿图主页 #男头 #crush头像 #小孩哥头像,0分:0秒,40,13,0,0,4,7.43E+18,,https://www.douyin.com/discover?modal_id=7428803515364953398,7428803515364953398,https://www.douyin.com/video/7428803515364953398
小孩哥,26,2024/10/23 13:49,#记录装修过程 #装修避坑 #施工现场实拍 怎样才能少走弯路,0分:0秒,9,0,5,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428844076281220410,7428844076281220410,https://www.douyin.com/video/7428844076281220410
睿睿麻麻,23256,2024/10/21 10:29,小孩哥圆了妈妈演容嬷嬷的梦#萌娃日常 #这孩子从小就是演技派 #有个高度配合的宝宝是种什么体验#软萌宝宝已上线,0分:12秒,26407,3275,2424,98,44151,7.43E+18,,https://www.douyin.com/discover?modal_id=7428050454656879907,7428050454656879907,https://www.douyin.com/video/7428050454656879907
河南广播电视台民生频道,24036131,2024/10/22 19:34,10月21日，吉林，小孩哥的心碎时刻 球滚到马路中间 ，司机小心翼翼减速 没想到还是压扁了，司机：为了你的安全 这个锅我背了 来源@蓝桥春雪^ #小孩哥 #心碎时刻,0分:6秒,1678,210,27,3,110,7.43E+18,河南广播电视台民生频道官方抖音号,https://www.douyin.com/discover?modal_id=7428561071545388340,7428561071545388340,https://www.douyin.com/video/7428561071545388340
Alex???♂?,27,2024/10/23 18:34,小孩哥我以为你在锻炼结果你在玩手机呢@#小孩哥 #这就是传说中的小孩哥吗,0分:10秒,106,1,46,0,35,7.43E+18,,https://www.douyin.com/discover?modal_id=7428917578518580537,7428917578518580537,https://www.douyin.com/video/7428917578518580537
一个小孩哥,1,2024/10/23 21:47,#抽风 你们听什么,0分:15秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428967304865664292,7428967304865664292,https://www.douyin.com/video/7428967304865664292
LDR??,1756,2024/10/23 12:45,roll起来。#小孩哥 #羊毛卷,0分:0秒,81,0,7,0,2,7.43E+18,,https://www.douyin.com/discover?modal_id=7428827579592822035,7428827579592822035,https://www.douyin.com/video/7428827579592822035
小孩哥,2,2024/10/24 9:41,有一起的搭子吗，2点报国寺出发,0分:0秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429151348467240243,7429151348467240243,https://www.douyin.com/video/7429151348467240243
小孩哥??,3638,2024/10/24 1:36,年轻人就应该买电车 反正也没那么早睡 还能冲最便宜的电#dou是好车,0分:0秒,14,1,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429026085620157711,7429026085620157711,https://www.douyin.com/video/7429026085620157711
??Jerry,3554,2024/10/23 17:36,是哥哥接弟弟的一天呀?? #两位大哥 #小孩哥,0分:0秒,21,0,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428902609852861730,7428902609852861730,https://www.douyin.com/video/7428902609852861730
小罗??,519,2024/10/23 11:40,和小孩哥当朋友的一天#被小孩子治愈的一天,0分:0秒,27,0,7,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428810897801415962,7428810897801415962,https://www.douyin.com/video/7428810897801415962
吃个雪糕呀.,452,2024/10/23 17:57,理想中的儿子#酷酷的小孩哥 #阳光小男孩 #小屁孩越来越像那么回事了,0分:0秒,15,0,4,0,2,7.43E+18,,https://www.douyin.com/discover?modal_id=7428907996106722623,7428907996106722623,https://www.douyin.com/video/7428907996106722623
柚子吖~,86,2024/10/23 14:50,今日份抓拍。#这条gai最靓的仔 #小孩哥,0分:0秒,25,0,18,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428859837699607846,7428859837699607846,https://www.douyin.com/video/7428859837699607846
小孩哥,124,2024/10/23 0:09,以前我也热情过 后来才发现一文不值,0分:0秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428632770584333603,7428632770584333603,https://www.douyin.com/video/7428632770584333603
六六娱乐,1221458,2024/10/22 19:13,小孩哥你是真有本事啊 #小学生 #万万没想到 #小孩哥 #娱乐评论大赏,0分:30秒,18217,771,6613,224,126191,7.43E+18,,https://www.douyin.com/discover?modal_id=7428524599048015145,7428524599048015145,https://www.douyin.com/video/7428524599048015145
